Month,Passengers,MA_6,MA_12
1957-07-01,465,374.5,350.4166666666667
1957-08-01,467,402.1666666666667,355.5833333333333
1957-09-01,404,410.1666666666667,359.6666666666667
1957-10-01,347,410.0,363.0833333333333
1957-11-01,305,401.6666666666667,365.9166666666667
1957-12-01,336,387.3333333333333,368.4166666666667
1958-01-01,340,366.5,370.5
1958-02-01,318,341.6666666666667,371.9166666666667
1958-03-01,362,334.6666666666667,372.4166666666667
1958-04-01,348,334.8333333333333,372.4166666666667
1958-05-01,363,344.5,373.0833333333333
1958-06-01,435,361.0,374.1666666666667
1958-07-01,491,386.1666666666667,376.3333333333333
1958-08-01,505,417.3333333333333,379.5
1958-09-01,404,424.3333333333333,379.5
1958-10-01,359,426.1666666666667,380.5
1958-11-01,310,417.3333333333333,380.9166666666667
1958-12-01,337,401.0,381.0
1959-01-01,360,379.1666666666667,382.6666666666667
1959-02-01,342,352.0,384.6666666666667
1959-03-01,406,352.3333333333333,388.3333333333333
1959-04-01,396,358.5,392.3333333333333
1959-05-01,420,376.8333333333333,397.0833333333333
1959-06-01,472,399.3333333333333,400.1666666666667
1959-07-01,548,430.6666666666667,404.9166666666667
1959-08-01,559,466.8333333333333,409.4166666666667
1959-09-01,463,476.3333333333333,414.3333333333333
1959-10-01,407,478.1666666666667,418.3333333333333
1959-11-01,362,468.5,422.6666666666667
1959-12-01,405,457.3333333333333,428.3333333333333
1960-01-01,417,435.5,433.0833333333333
1960-02-01,391,407.5,437.1666666666667
1960-03-01,419,400.1666666666667,438.25
1960-04-01,461,409.1666666666667,443.6666666666667
1960-05-01,472,427.5,448.0
1960-06-01,535,449.1666666666667,453.25
1960-07-01,622,483.3333333333333,459.4166666666667
1960-08-01,606,519.1666666666666,463.3333333333333
1960-09-01,508,534.0,467.0833333333333
1960-10-01,461,534.0,471.5833333333333
1960-11-01,390,520.3333333333334,473.9166666666667
1960-12-01,432,503.1666666666667,476.1666666666667
